match_id,date,team_a,team_b,team_a_goals,team_b_goals,winner,is_draw,tournament,stage,city,country,venue,neutral,source,last_updated
1966-07-20-england-france,1966-07-20,England,France,2.0,0.0,England,False,,,,,,,kaggle_world_cup_historical,2026-07-05T21:50:39+00:00
1966-07-23-england-argentina,1966-07-23,England,Argentina,1.0,0.0,England,False,,,,,,,kaggle_world_cup_historical,2026-07-05T21:50:39+00:00
1966-07-26-england-portugal,1966-07-26,England,Portugal,2.0,1.0,England,False,,,,,,,kaggle_world_cup_historical,2026-07-05T21:50:39+00:00
1969-02-02-cameroon-uganda-african-cup-of-nations-qualification,1969-02-02,Cameroon,Uganda,2.0,0.0,Cameroon,False,African Cup of Nations qualification,,Yaoundé,Cameroon,,False,kaggle_international_results,2026-07-05T21:50:39+00:00
1969-06-29-cameroon-zambia-african-cup-of-nations-qualification,1969-06-29,Cameroon,Zambia,2.0,1.0,Cameroon,False,African Cup of Nations qualification,,Yaoundé,Cameroon,,False,kaggle_international_results,2026-07-05T21:50:39+00:00
1970-06-02-peru-bulgaria,1970-06-02,Peru,Bulgaria,3.0,2.0,Peru,False,,,,,,,kaggle_world_cup_historical,2026-07-05T21:50:39+00:00
1970-06-02-england-romania,1970-06-02,England,Romania,1.0,0.0,England,False,,,,,,,kaggle_world_cup_historical,2026-07-05T21:50:39+00:00
1970-06-02-uruguay-israel,1970-06-02,Uruguay,Israel,2.0,0.0,Uruguay,False,,,,,,,kaggle_world_cup_historical,2026-07-05T21:50:39+00:00
1970-06-03-belgium-el-salvador,1970-06-03,Belgium,El Salvador,3.0,0.0,Belgium,False,,,,,,,kaggle_world_cup_historical,2026-07-05T21:50:39+00:00
1970-06-03-brazil-czechoslovakia,1970-06-03,Brazil,Czechoslovakia,4.0,1.0,Brazil,False,,,,,,,kaggle_world_cup_historical,2026-07-05T21:50:39+00:00
1970-06-03-italy-sweden,1970-06-03,Italy,Sweden,1.0,0.0,Italy,False,,,,,,,kaggle_world_cup_historical,2026-07-05T21:50:39+00:00
1970-06-06-romania-czechoslovakia,1970-06-06,Romania,Czechoslovakia,2.0,1.0,Romania,False,,,,,,,kaggle_world_cup_historical,2026-07-05T21:50:39+00:00
1970-06-06-uruguay-italy,1970-06-06,Uruguay,Italy,0.0,0.0,Draw,True,,,,,,,kaggle_world_cup_historical,2026-07-05T21:50:39+00:00
1970-06-06-peru-morocco,1970-06-06,Peru,Morocco,3.0,0.0,Peru,False,,,,,,,kaggle_world_cup_historical,2026-07-05T21:50:39+00:00
1970-06-07-brazil-england,1970-06-07,Brazil,England,1.0,0.0,Brazil,False,,,,,,,kaggle_world_cup_historical,2026-07-05T21:50:39+00:00
1970-06-07-sweden-israel,1970-06-07,Sweden,Israel,1.0,1.0,Draw,True,,,,,,,kaggle_world_cup_historical,2026-07-05T21:50:39+00:00
1970-06-07-mexico-el-salvador,1970-06-07,Mexico,El Salvador,4.0,0.0,Mexico,False,,,,,,,kaggle_world_cup_historical,2026-07-05T21:50:39+00:00
1970-06-10-brazil-romania,1970-06-10,Brazil,Romania,3.0,2.0,Brazil,False,,,,,,,kaggle_world_cup_historical,2026-07-05T21:50:39+00:00
1970-06-10-sweden-uruguay,1970-06-10,Sweden,Uruguay,1.0,0.0,Sweden,False,,,,,,,kaggle_world_cup_historical,2026-07-05T21:50:39+00:00
1970-06-11-bulgaria-morocco,1970-06-11,Bulgaria,Morocco,1.0,1.0,Draw,True,,,,,,,kaggle_world_cup_historical,2026-07-05T21:50:39+00:00
1970-06-11-england-czechoslovakia,1970-06-11,England,Czechoslovakia,1.0,0.0,England,False,,,,,,,kaggle_world_cup_historical,2026-07-05T21:50:39+00:00
1970-06-11-italy-israel,1970-06-11,Italy,Israel,0.0,0.0,Draw,True,,,,,,,kaggle_world_cup_historical,2026-07-05T21:50:39+00:00
1970-06-11-mexico-belgium,1970-06-11,Mexico,Belgium,1.0,0.0,Mexico,False,,,,,,,kaggle_world_cup_historical,2026-07-05T21:50:39+00:00
1970-06-14-brazil-peru,1970-06-14,Brazil,Peru,4.0,2.0,Brazil,False,,,,,,,kaggle_world_cup_historical,2026-07-05T21:50:39+00:00
1970-06-14-italy-mexico,1970-06-14,Italy,Mexico,4.0,1.0,Italy,False,,,,,,,kaggle_world_cup_historical,2026-07-05T21:50:39+00:00
1970-06-17-brazil-uruguay,1970-06-17,Brazil,Uruguay,3.0,1.0,Brazil,False,,,,,,,kaggle_world_cup_historical,2026-07-05T21:50:39+00:00
1970-06-21-brazil-italy,1970-06-21,Brazil,Italy,4.0,1.0,Brazil,False,,,,,,,kaggle_world_cup_historical,2026-07-05T21:50:39+00:00
1971-10-06-mexico-bermuda-concacaf-championship-qualification,1971-10-06,Mexico,Bermuda,4.0,0.0,Mexico,False,CONCACAF Championship qualification,,Mexico City,Mexico,,False,kaggle_international_results,2026-07-05T21:50:39+00:00
1973-04-08-tanzania-ethiopia-african-cup-of-nations-qualification,1973-04-08,Tanzania,Ethiopia,3.0,0.0,Tanzania,False,African Cup of Nations qualification,,Dar es Salaam,Tanzania,,False,kaggle_international_results,2026-07-05T21:50:39+00:00
1973-06-05-madagascar-zambia-african-cup-of-nations-qualification,1973-06-05,Madagascar,Zambia,2.0,1.0,Madagascar,False,African Cup of Nations qualification,,Antananarivo,Madagascar,,False,kaggle_international_results,2026-07-05T21:50:39+00:00
1973-07-15-nigeria-zambia-african-cup-of-nations-qualification,1973-07-15,Nigeria,Zambia,3.0,2.0,Nigeria,False,African Cup of Nations qualification,,Lagos,Nigeria,,False,kaggle_international_results,2026-07-05T21:50:39+00:00
1974-06-13-brazil-yugoslavia,1974-06-13,Brazil,Yugoslavia,0.0,0.0,Draw,True,,,,,,,kaggle_world_cup_historical,2026-07-05T21:50:39+00:00
1974-06-15-italy-haiti,1974-06-15,Italy,Haiti,3.0,1.0,Italy,False,,,,,,,kaggle_world_cup_historical,2026-07-05T21:50:39+00:00
1974-06-15-poland-argentina,1974-06-15,Poland,Argentina,3.0,2.0,Poland,False,,,,,,,kaggle_world_cup_historical,2026-07-05T21:50:39+00:00
1974-06-15-sweden-bulgaria,1974-06-15,Sweden,Bulgaria,0.0,0.0,Draw,True,,,,,,,kaggle_world_cup_historical,2026-07-05T21:50:39+00:00
