match_id,date,team_a,team_b,team_a_goals,team_b_goals,winner,is_draw,tournament,stage,city,country,venue,neutral,source,last_updated
1938-06-12-sweden-cuba,1938-06-12,Sweden,Cuba,8.0,0.0,Sweden,False,,,,,,,kaggle_world_cup_historical,2026-07-05T21:50:39+00:00
1938-06-12-france-italy-fifa-world-cup,1938-06-12,France,Italy,1.0,3.0,Italy,False,FIFA World Cup,,Colombes,France,,False,kaggle_international_results,2026-07-05T21:50:39+00:00
1938-06-12-italy-france,1938-06-12,Italy,France,3.0,1.0,Italy,False,,,,,,,kaggle_world_cup_historical,2026-07-05T21:50:39+00:00
1938-06-16-brazil-italy-fifa-world-cup,1938-06-16,Brazil,Italy,1.0,2.0,Italy,False,FIFA World Cup,,Marseille,France,,True,kaggle_international_results,2026-07-05T21:50:39+00:00
1938-06-16-italy-brazil,1938-06-16,Italy,Brazil,2.0,1.0,Italy,False,,,,,,,kaggle_world_cup_historical,2026-07-05T21:50:39+00:00
1938-06-19-hungary-italy-fifa-world-cup,1938-06-19,Hungary,Italy,2.0,4.0,Italy,False,FIFA World Cup,,Colombes,France,,True,kaggle_international_results,2026-07-05T21:50:39+00:00
1938-06-19-italy-hungary,1938-06-19,Italy,Hungary,4.0,2.0,Italy,False,,,,,,,kaggle_world_cup_historical,2026-07-05T21:50:39+00:00
1950-06-25-chile-england-fifa-world-cup,1950-06-25,Chile,England,0.0,2.0,England,False,FIFA World Cup,,Rio de Janeiro,Brazil,,True,kaggle_international_results,2026-07-05T21:50:39+00:00
1950-06-25-england-chile,1950-06-25,England,Chile,2.0,0.0,England,False,,,,,,,kaggle_world_cup_historical,2026-07-05T21:50:39+00:00
1950-06-25-italy-sweden-fifa-world-cup,1950-06-25,Italy,Sweden,2.0,3.0,Sweden,False,FIFA World Cup,,São Paulo,Brazil,,True,kaggle_international_results,2026-07-05T21:50:39+00:00
1950-06-25-sweden-italy,1950-06-25,Sweden,Italy,3.0,2.0,Sweden,False,,,,,,,kaggle_world_cup_historical,2026-07-05T21:50:39+00:00
1950-06-25-switzerland-yugoslavia-fifa-world-cup,1950-06-25,Switzerland,Yugoslavia,0.0,3.0,Yugoslavia,False,FIFA World Cup,,Belo Horizonte,Brazil,,True,kaggle_international_results,2026-07-05T21:50:39+00:00
