match_id,date,stage,group,team_a,team_b,venue,city,country,status,source,last_updated,team_a_is_tbd,team_b_is_tbd,fixture_has_tbd_team
41,2026-06-22,Group Stage,Group J,Argentina,Austria,AT&T Stadium,Dallas,USA,scheduled,kaggle_world_cup_2026_schedule,2026-07-05T21:50:39+00:00,False,False,False
42,2026-06-22,Group Stage,Group I,France,Winner FIFA Playoff 2,Lincoln Financial Field,Philadelphia,USA,scheduled,kaggle_world_cup_2026_schedule,2026-07-05T21:50:39+00:00,False,False,False
43,2026-06-23,Group Stage,Group I,Norway,Senegal,MetLife Stadium,New York/New Jersey,USA,scheduled,kaggle_world_cup_2026_schedule,2026-07-05T21:50:39+00:00,False,False,False
44,2026-06-23,Group Stage,Group J,Jordan,Algeria,Levi's Stadium,San Francisco Bay Area,USA,scheduled,kaggle_world_cup_2026_schedule,2026-07-05T21:50:39+00:00,False,False,False
45,2026-06-23,Group Stage,Group K,Portugal,Uzbekistan,NRG Stadium,Houston,USA,scheduled,kaggle_world_cup_2026_schedule,2026-07-05T21:50:39+00:00,False,False,False
46,2026-06-23,Group Stage,Group L,England,Ghana,Gillette Stadium,Boston,USA,scheduled,kaggle_world_cup_2026_schedule,2026-07-05T21:50:39+00:00,False,False,False
47,2026-06-23,Group Stage,Group L,Panama,Croatia,BMO Field,Toronto,Canada,scheduled,kaggle_world_cup_2026_schedule,2026-07-05T21:50:39+00:00,False,False,False
48,2026-06-24,Group Stage,Group K,Colombia,Winner FIFA Playoff 1,Estadio Akron,Guadalajara,Mexico,scheduled,kaggle_world_cup_2026_schedule,2026-07-05T21:50:39+00:00,False,False,False
49,2026-06-24,Group Stage,Group B,Switzerland,Canada,BC Place,Vancouver,Canada,scheduled,kaggle_world_cup_2026_schedule,2026-07-05T21:50:39+00:00,False,False,False
50,2026-06-24,Group Stage,Group B,Winner UEFA Playoff A,Qatar,Lumen Field,Seattle,USA,scheduled,kaggle_world_cup_2026_schedule,2026-07-05T21:50:39+00:00,False,False,False
51,2026-06-24,Group Stage,Group C,Scotland,Brazil,Hard Rock Stadium,Miami,USA,scheduled,kaggle_world_cup_2026_schedule,2026-07-05T21:50:39+00:00,False,False,False
52,2026-06-24,Group Stage,Group C,Morocco,Haiti,Mercedes-Benz Stadium,Atlanta,USA,scheduled,kaggle_world_cup_2026_schedule,2026-07-05T21:50:39+00:00,False,False,False
53,2026-06-25,Group Stage,Group A,Winner UEFA Playoff D,Mexico,Estadio Azteca,Mexico City,Mexico,scheduled,kaggle_world_cup_2026_schedule,2026-07-05T21:50:39+00:00,False,False,False
54,2026-06-25,Group Stage,Group A,South Africa,South Korea,Estadio BBVA,Monterrey,Mexico,scheduled,kaggle_world_cup_2026_schedule,2026-07-05T21:50:39+00:00,False,False,False
55,2026-06-25,Group Stage,Group E,Curaçao,Ivory Coast,Lincoln Financial Field,Philadelphia,USA,scheduled,kaggle_world_cup_2026_schedule,2026-07-05T21:50:39+00:00,False,False,False
56,2026-06-25,Group Stage,Group E,Ecuador,Germany,MetLife Stadium,New York/New Jersey,USA,scheduled,kaggle_world_cup_2026_schedule,2026-07-05T21:50:39+00:00,False,False,False
57,2026-06-26,Group Stage,Group F,Japan,Winner UEFA Playoff B,AT&T Stadium,Dallas,USA,scheduled,kaggle_world_cup_2026_schedule,2026-07-05T21:50:39+00:00,False,False,False
58,2026-06-26,Group Stage,Group F,Tunisia,Netherlands,Arrowhead Stadium,Kansas City,USA,scheduled,kaggle_world_cup_2026_schedule,2026-07-05T21:50:39+00:00,False,False,False
59,2026-06-26,Group Stage,Group D,Winner UEFA Playoff C,United States,SoFi Stadium,Los Angeles,USA,scheduled,kaggle_world_cup_2026_schedule,2026-07-05T21:50:39+00:00,False,False,False
60,2026-06-26,Group Stage,Group D,Paraguay,Australia,Levi's Stadium,San Francisco Bay Area,USA,scheduled,kaggle_world_cup_2026_schedule,2026-07-05T21:50:39+00:00,False,False,False
61,2026-06-26,Group Stage,Group I,Norway,France,Gillette Stadium,Boston,USA,scheduled,kaggle_world_cup_2026_schedule,2026-07-05T21:50:39+00:00,False,False,False
62,2026-06-26,Group Stage,Group I,Senegal,Winner FIFA Playoff 2,BMO Field,Toronto,Canada,scheduled,kaggle_world_cup_2026_schedule,2026-07-05T21:50:39+00:00,False,False,False
63,2026-06-27,Group Stage,Group H,Cabo Verde,Saudi Arabia,NRG Stadium,Houston,USA,scheduled,kaggle_world_cup_2026_schedule,2026-07-05T21:50:39+00:00,False,False,False
64,2026-06-27,Group Stage,Group H,Uruguay,Spain,Estadio Akron,Guadalajara,Mexico,scheduled,kaggle_world_cup_2026_schedule,2026-07-05T21:50:39+00:00,False,False,False
65,2026-06-27,Group Stage,Group G,Egypt,Iran,Lumen Field,Seattle,USA,scheduled,kaggle_world_cup_2026_schedule,2026-07-05T21:50:39+00:00,False,False,False
66,2026-06-27,Group Stage,Group G,New Zealand,Belgium,BC Place,Vancouver,Canada,scheduled,kaggle_world_cup_2026_schedule,2026-07-05T21:50:39+00:00,False,False,False
67,2026-06-27,Group Stage,Group L,Panama,England,MetLife Stadium,New York/New Jersey,USA,scheduled,kaggle_world_cup_2026_schedule,2026-07-05T21:50:39+00:00,False,False,False
68,2026-06-27,Group Stage,Group L,Croatia,Ghana,Lincoln Financial Field,Philadelphia,USA,scheduled,kaggle_world_cup_2026_schedule,2026-07-05T21:50:39+00:00,False,False,False
69,2026-06-27,Group Stage,Group K,Colombia,Portugal,Hard Rock Stadium,Miami,USA,scheduled,kaggle_world_cup_2026_schedule,2026-07-05T21:50:39+00:00,False,False,False
70,2026-06-27,Group Stage,Group K,Winner FIFA Playoff 1,Uzbekistan,Mercedes-Benz Stadium,Atlanta,USA,scheduled,kaggle_world_cup_2026_schedule,2026-07-05T21:50:39+00:00,False,False,False
71,2026-06-28,Group Stage,Group J,Algeria,Austria,Arrowhead Stadium,Kansas City,USA,scheduled,kaggle_world_cup_2026_schedule,2026-07-05T21:50:39+00:00,False,False,False
72,2026-06-28,Group Stage,Group J,Jordan,Argentina,AT&T Stadium,Dallas,USA,scheduled,kaggle_world_cup_2026_schedule,2026-07-05T21:50:39+00:00,False,False,False
73,2026-06-28,Round of 32,2A vs 2B,TBD_Team_A,TBD_Team_B,SoFi Stadium,Los Angeles,USA,scheduled,kaggle_world_cup_2026_schedule,2026-07-05T21:50:39+00:00,True,True,True
74,2026-06-29,Round of 32,1C vs 2F,TBD_Team_A,TBD_Team_B,NRG Stadium,Houston,USA,scheduled,kaggle_world_cup_2026_schedule,2026-07-05T21:50:39+00:00,True,True,True
75,2026-06-29,Round of 32,1E vs 3ABCDF,TBD_Team_A,TBD_Team_B,Gillette Stadium,Boston,USA,scheduled,kaggle_world_cup_2026_schedule,2026-07-05T21:50:39+00:00,True,True,True
76,2026-06-30,Round of 32,1F vs 2C,TBD_Team_A,TBD_Team_B,Estadio BBVA,Monterrey,Mexico,scheduled,kaggle_world_cup_2026_schedule,2026-07-05T21:50:39+00:00,True,True,True
77,2026-06-30,Round of 32,2E vs 2I,TBD_Team_A,TBD_Team_B,AT&T Stadium,Dallas,USA,scheduled,kaggle_world_cup_2026_schedule,2026-07-05T21:50:39+00:00,True,True,True
78,2026-06-30,Round of 32,1I vs 3CDFGH,TBD_Team_A,TBD_Team_B,MetLife Stadium,New York/New Jersey,USA,scheduled,kaggle_world_cup_2026_schedule,2026-07-05T21:50:39+00:00,True,True,True
79,2026-07-01,Round of 32,1A vs 3CEFHI,TBD_Team_A,TBD_Team_B,Estadio Azteca,Mexico City,Mexico,scheduled,kaggle_world_cup_2026_schedule,2026-07-05T21:50:39+00:00,True,True,True
80,2026-07-01,Round of 32,1L vs 3EHIJK,TBD_Team_A,TBD_Team_B,Mercedes-Benz Stadium,Atlanta,USA,scheduled,kaggle_world_cup_2026_schedule,2026-07-05T21:50:39+00:00,True,True,True
81,2026-07-01,Round of 32,1G vs 3AEHIJ,TBD_Team_A,TBD_Team_B,Lumen Field,Seattle,USA,scheduled,kaggle_world_cup_2026_schedule,2026-07-05T21:50:39+00:00,True,True,True
82,2026-07-02,Round of 32,1D vs 3BEFIJ,TBD_Team_A,TBD_Team_B,Levi's Stadium,San Francisco Bay Area,USA,scheduled,kaggle_world_cup_2026_schedule,2026-07-05T21:50:39+00:00,True,True,True
83,2026-07-02,Round of 32,1H vs 2J,TBD_Team_A,TBD_Team_B,SoFi Stadium,Los Angeles,USA,scheduled,kaggle_world_cup_2026_schedule,2026-07-05T21:50:39+00:00,True,True,True
84,2026-07-02,Round of 32,2K vs 2L,TBD_Team_A,TBD_Team_B,BMO Field,Toronto,Canada,scheduled,kaggle_world_cup_2026_schedule,2026-07-05T21:50:39+00:00,True,True,True
85,2026-07-03,Round of 32,1B vs 3EFGIJ,TBD_Team_A,TBD_Team_B,BC Place,Vancouver,Canada,scheduled,kaggle_world_cup_2026_schedule,2026-07-05T21:50:39+00:00,True,True,True
86,2026-07-03,Round of 32,2D vs 2G,TBD_Team_A,TBD_Team_B,AT&T Stadium,Dallas,USA,scheduled,kaggle_world_cup_2026_schedule,2026-07-05T21:50:39+00:00,True,True,True
87,2026-07-03,Round of 32,1J vs 2H,TBD_Team_A,TBD_Team_B,Hard Rock Stadium,Miami,USA,scheduled,kaggle_world_cup_2026_schedule,2026-07-05T21:50:39+00:00,True,True,True
88,2026-07-04,Round of 32,1K vs 3DEIJL,TBD_Team_A,TBD_Team_B,Arrowhead Stadium,Kansas City,USA,scheduled,kaggle_world_cup_2026_schedule,2026-07-05T21:50:39+00:00,True,True,True
89,2026-07-04,Round of 16,W73 vs W75,TBD_Team_A,TBD_Team_B,NRG Stadium,Houston,USA,scheduled,kaggle_world_cup_2026_schedule,2026-07-05T21:50:39+00:00,True,True,True
90,2026-07-04,Round of 16,W74 vs W77,TBD_Team_A,TBD_Team_B,Lincoln Financial Field,Philadelphia,USA,scheduled,kaggle_world_cup_2026_schedule,2026-07-05T21:50:39+00:00,True,True,True
91,2026-07-05,Round of 16,W76 vs W78,TBD_Team_A,TBD_Team_B,MetLife Stadium,New York/New Jersey,USA,scheduled,kaggle_world_cup_2026_schedule,2026-07-05T21:50:39+00:00,True,True,True
92,2026-07-06,Round of 16,W79 vs W80,TBD_Team_A,TBD_Team_B,Estadio Azteca,Mexico City,Mexico,scheduled,kaggle_world_cup_2026_schedule,2026-07-05T21:50:39+00:00,True,True,True
93,2026-07-06,Round of 16,W83 vs W84,TBD_Team_A,TBD_Team_B,AT&T Stadium,Dallas,USA,scheduled,kaggle_world_cup_2026_schedule,2026-07-05T21:50:39+00:00,True,True,True
94,2026-07-07,Round of 16,W81 vs W82,TBD_Team_A,TBD_Team_B,Lumen Field,Seattle,USA,scheduled,kaggle_world_cup_2026_schedule,2026-07-05T21:50:39+00:00,True,True,True
95,2026-07-07,Round of 16,W86 vs W88,TBD_Team_A,TBD_Team_B,Mercedes-Benz Stadium,Atlanta,USA,scheduled,kaggle_world_cup_2026_schedule,2026-07-05T21:50:39+00:00,True,True,True
96,2026-07-07,Round of 16,W85 vs W87,TBD_Team_A,TBD_Team_B,BC Place,Vancouver,Canada,scheduled,kaggle_world_cup_2026_schedule,2026-07-05T21:50:39+00:00,True,True,True
97,2026-07-09,Quarterfinals,W89 vs W90,TBD_Team_A,TBD_Team_B,Gillette Stadium,Boston,USA,scheduled,kaggle_world_cup_2026_schedule,2026-07-05T21:50:39+00:00,True,True,True
98,2026-07-10,Quarterfinals,W93 vs W94,TBD_Team_A,TBD_Team_B,SoFi Stadium,Los Angeles,USA,scheduled,kaggle_world_cup_2026_schedule,2026-07-05T21:50:39+00:00,True,True,True
99,2026-07-11,Quarterfinals,W91 vs W92,TBD_Team_A,TBD_Team_B,Hard Rock Stadium,Miami,USA,scheduled,kaggle_world_cup_2026_schedule,2026-07-05T21:50:39+00:00,True,True,True
100,2026-07-12,Quarterfinals,W95 vs W100,TBD_Team_A,TBD_Team_B,Arrowhead Stadium,Kansas City,USA,scheduled,kaggle_world_cup_2026_schedule,2026-07-05T21:50:39+00:00,True,True,True
101,2026-07-14,Semifinals,W97 vs W98,TBD_Team_A,TBD_Team_B,AT&T Stadium,Dallas,USA,scheduled,kaggle_world_cup_2026_schedule,2026-07-05T21:50:39+00:00,True,True,True
102,2026-07-15,Semifinals,W99 vs W100,TBD_Team_A,TBD_Team_B,Mercedes-Benz Stadium,Atlanta,USA,scheduled,kaggle_world_cup_2026_schedule,2026-07-05T21:50:39+00:00,True,True,True
103,2026-07-18,Third Place Playoff,RU101 vs RU102,TBD_Team_A,TBD_Team_B,Hard Rock Stadium,Miami,USA,scheduled,kaggle_world_cup_2026_schedule,2026-07-05T21:50:39+00:00,True,True,True
104,2026-07-19,Final,W101 vs W102,TBD_Team_A,TBD_Team_B,MetLife Stadium,New York/New Jersey,USA,scheduled,kaggle_world_cup_2026_schedule,2026-07-05T21:50:39+00:00,True,True,True
