fixture_id,match_id,date,round,stage,group,team_a,team_b,team_a_id,team_b_id,team_a_goals,team_b_goals,team_a_penalty_goals,team_b_penalty_goals,winner,status_short,status_long,elapsed,is_completed,is_live,is_scheduled,is_knockout,venue,city,country,source,provider,last_updated
537342,football_data_org_537342,2026-06-19T22:00:00Z,GROUP_STAGE,Group Stage,GROUP_C,Scotland,Morocco,8873.0,815.0,0.0,1.0,,,Morocco,FINISHED,FINISHED,,True,False,False,False,,,,football_data_org,football_data_org,2026-07-10T05:20:09Z
537341,football_data_org_537341,2026-06-20T00:30:00Z,GROUP_STAGE,Group Stage,GROUP_C,Brazil,Haiti,764.0,836.0,3.0,0.0,,,Brazil,FINISHED,FINISHED,,True,False,False,False,,,,football_data_org,football_data_org,2026-07-10T05:20:09Z
537347,football_data_org_537347,2026-06-20T03:00:00Z,GROUP_STAGE,Group Stage,GROUP_D,Turkey,Paraguay,803.0,761.0,0.0,1.0,,,Paraguay,FINISHED,FINISHED,,True,False,False,False,,,,football_data_org,football_data_org,2026-07-10T05:20:09Z
537359,football_data_org_537359,2026-06-20T17:00:00Z,GROUP_STAGE,Group Stage,GROUP_F,Netherlands,Sweden,8601.0,792.0,5.0,1.0,,,Netherlands,FINISHED,FINISHED,,True,False,False,False,,,,football_data_org,football_data_org,2026-07-10T05:20:09Z
537353,football_data_org_537353,2026-06-20T20:00:00Z,GROUP_STAGE,Group Stage,GROUP_E,Germany,Ivory Coast,759.0,1935.0,2.0,1.0,,,Germany,FINISHED,FINISHED,,True,False,False,False,,,,football_data_org,football_data_org,2026-07-10T05:20:09Z
537354,football_data_org_537354,2026-06-21T00:00:00Z,GROUP_STAGE,Group Stage,GROUP_E,Ecuador,Curaçao,791.0,9460.0,0.0,0.0,,,Draw,FINISHED,FINISHED,,True,False,False,False,,,,football_data_org,football_data_org,2026-07-10T05:20:09Z
537360,football_data_org_537360,2026-06-21T04:00:00Z,GROUP_STAGE,Group Stage,GROUP_F,Tunisia,Japan,802.0,766.0,0.0,4.0,,,Japan,FINISHED,FINISHED,,True,False,False,False,,,,football_data_org,football_data_org,2026-07-10T05:20:09Z
537371,football_data_org_537371,2026-06-21T16:00:00Z,GROUP_STAGE,Group Stage,GROUP_H,Spain,Saudi Arabia,760.0,801.0,4.0,0.0,,,Spain,FINISHED,FINISHED,,True,False,False,False,,,,football_data_org,football_data_org,2026-07-10T05:20:09Z
537365,football_data_org_537365,2026-06-21T19:00:00Z,GROUP_STAGE,Group Stage,GROUP_G,Belgium,Iran,805.0,840.0,0.0,0.0,,,Draw,FINISHED,FINISHED,,True,False,False,False,,,,football_data_org,football_data_org,2026-07-10T05:20:09Z
537372,football_data_org_537372,2026-06-21T22:00:00Z,GROUP_STAGE,Group Stage,GROUP_H,Uruguay,Cape Verde Islands,758.0,1930.0,2.0,2.0,,,Draw,FINISHED,FINISHED,,True,False,False,False,,,,football_data_org,football_data_org,2026-07-10T05:20:09Z
537366,football_data_org_537366,2026-06-22T01:00:00Z,GROUP_STAGE,Group Stage,GROUP_G,New Zealand,Egypt,783.0,825.0,1.0,3.0,,,Egypt,FINISHED,FINISHED,,True,False,False,False,,,,football_data_org,football_data_org,2026-07-10T05:20:09Z
537399,football_data_org_537399,2026-06-22T17:00:00Z,GROUP_STAGE,Group Stage,GROUP_J,Argentina,Austria,762.0,816.0,2.0,0.0,,,Argentina,FINISHED,FINISHED,,True,False,False,False,,,,football_data_org,football_data_org,2026-07-10T05:20:09Z
537393,football_data_org_537393,2026-06-22T21:00:00Z,GROUP_STAGE,Group Stage,GROUP_I,France,Iraq,773.0,8062.0,3.0,0.0,,,France,FINISHED,FINISHED,,True,False,False,False,,,,football_data_org,football_data_org,2026-07-10T05:20:09Z
537394,football_data_org_537394,2026-06-23T00:00:00Z,GROUP_STAGE,Group Stage,GROUP_I,Norway,Senegal,8872.0,804.0,3.0,2.0,,,Norway,FINISHED,FINISHED,,True,False,False,False,,,,football_data_org,football_data_org,2026-07-10T05:20:09Z
537400,football_data_org_537400,2026-06-23T03:00:00Z,GROUP_STAGE,Group Stage,GROUP_J,Jordan,Algeria,8049.0,778.0,1.0,2.0,,,Algeria,FINISHED,FINISHED,,True,False,False,False,,,,football_data_org,football_data_org,2026-07-10T05:20:09Z
537405,football_data_org_537405,2026-06-23T17:00:00Z,GROUP_STAGE,Group Stage,GROUP_K,Portugal,Uzbekistan,765.0,8070.0,5.0,0.0,,,Portugal,FINISHED,FINISHED,,True,False,False,False,,,,football_data_org,football_data_org,2026-07-10T05:20:09Z
537411,football_data_org_537411,2026-06-23T20:00:00Z,GROUP_STAGE,Group Stage,GROUP_L,England,Ghana,770.0,763.0,0.0,0.0,,,Draw,FINISHED,FINISHED,,True,False,False,False,,,,football_data_org,football_data_org,2026-07-10T05:20:09Z
537412,football_data_org_537412,2026-06-23T23:00:00Z,GROUP_STAGE,Group Stage,GROUP_L,Panama,Croatia,1836.0,799.0,0.0,1.0,,,Croatia,FINISHED,FINISHED,,True,False,False,False,,,,football_data_org,football_data_org,2026-07-10T05:20:09Z
537406,football_data_org_537406,2026-06-24T02:00:00Z,GROUP_STAGE,Group Stage,GROUP_K,Colombia,Congo DR,818.0,1934.0,1.0,0.0,,,Colombia,FINISHED,FINISHED,,True,False,False,False,,,,football_data_org,football_data_org,2026-07-10T05:20:09Z
537337,football_data_org_537337,2026-06-24T19:00:00Z,GROUP_STAGE,Group Stage,GROUP_B,Switzerland,Canada,788.0,828.0,2.0,1.0,,,Switzerland,FINISHED,FINISHED,,True,False,False,False,,,,football_data_org,football_data_org,2026-07-10T05:20:09Z
537338,football_data_org_537338,2026-06-24T19:00:00Z,GROUP_STAGE,Group Stage,GROUP_B,Bosnia-Herzegovina,Qatar,1060.0,8030.0,3.0,1.0,,,Bosnia-Herzegovina,FINISHED,FINISHED,,True,False,False,False,,,,football_data_org,football_data_org,2026-07-10T05:20:09Z
537344,football_data_org_537344,2026-06-24T22:00:00Z,GROUP_STAGE,Group Stage,GROUP_C,Morocco,Haiti,815.0,836.0,4.0,2.0,,,Morocco,FINISHED,FINISHED,,True,False,False,False,,,,football_data_org,football_data_org,2026-07-10T05:20:09Z
537343,football_data_org_537343,2026-06-24T22:00:00Z,GROUP_STAGE,Group Stage,GROUP_C,Scotland,Brazil,8873.0,764.0,0.0,3.0,,,Brazil,FINISHED,FINISHED,,True,False,False,False,,,,football_data_org,football_data_org,2026-07-10T05:20:09Z
537331,football_data_org_537331,2026-06-25T01:00:00Z,GROUP_STAGE,Group Stage,GROUP_A,Czechia,Mexico,798.0,769.0,0.0,3.0,,,Mexico,FINISHED,FINISHED,,True,False,False,False,,,,football_data_org,football_data_org,2026-07-10T05:20:09Z
537332,football_data_org_537332,2026-06-25T01:00:00Z,GROUP_STAGE,Group Stage,GROUP_A,South Africa,South Korea,774.0,772.0,1.0,0.0,,,South Africa,FINISHED,FINISHED,,True,False,False,False,,,,football_data_org,football_data_org,2026-07-10T05:20:09Z
537355,football_data_org_537355,2026-06-25T20:00:00Z,GROUP_STAGE,Group Stage,GROUP_E,Ecuador,Germany,791.0,759.0,2.0,1.0,,,Ecuador,FINISHED,FINISHED,,True,False,False,False,,,,football_data_org,football_data_org,2026-07-10T05:20:09Z
537356,football_data_org_537356,2026-06-25T20:00:00Z,GROUP_STAGE,Group Stage,GROUP_E,Curaçao,Ivory Coast,9460.0,1935.0,0.0,2.0,,,Ivory Coast,FINISHED,FINISHED,,True,False,False,False,,,,football_data_org,football_data_org,2026-07-10T05:20:09Z
537361,football_data_org_537361,2026-06-25T23:00:00Z,GROUP_STAGE,Group Stage,GROUP_F,Tunisia,Netherlands,802.0,8601.0,1.0,3.0,,,Netherlands,FINISHED,FINISHED,,True,False,False,False,,,,football_data_org,football_data_org,2026-07-10T05:20:09Z
537362,football_data_org_537362,2026-06-25T23:00:00Z,GROUP_STAGE,Group Stage,GROUP_F,Japan,Sweden,766.0,792.0,1.0,1.0,,,Draw,FINISHED,FINISHED,,True,False,False,False,,,,football_data_org,football_data_org,2026-07-10T05:20:09Z
537349,football_data_org_537349,2026-06-26T02:00:00Z,GROUP_STAGE,Group Stage,GROUP_D,Turkey,United States,803.0,771.0,3.0,2.0,,,Turkey,FINISHED,FINISHED,,True,False,False,False,,,,football_data_org,football_data_org,2026-07-10T05:20:09Z
537350,football_data_org_537350,2026-06-26T02:00:00Z,GROUP_STAGE,Group Stage,GROUP_D,Paraguay,Australia,761.0,779.0,0.0,0.0,,,Draw,FINISHED,FINISHED,,True,False,False,False,,,,football_data_org,football_data_org,2026-07-10T05:20:09Z
537395,football_data_org_537395,2026-06-26T19:00:00Z,GROUP_STAGE,Group Stage,GROUP_I,Norway,France,8872.0,773.0,1.0,4.0,,,France,FINISHED,FINISHED,,True,False,False,False,,,,football_data_org,football_data_org,2026-07-10T05:20:09Z
537396,football_data_org_537396,2026-06-26T19:00:00Z,GROUP_STAGE,Group Stage,GROUP_I,Senegal,Iraq,804.0,8062.0,5.0,0.0,,,Senegal,FINISHED,FINISHED,,True,False,False,False,,,,football_data_org,football_data_org,2026-07-10T05:20:09Z
537373,football_data_org_537373,2026-06-27T00:00:00Z,GROUP_STAGE,Group Stage,GROUP_H,Uruguay,Spain,758.0,760.0,0.0,1.0,,,Spain,FINISHED,FINISHED,,True,False,False,False,,,,football_data_org,football_data_org,2026-07-10T05:20:09Z
537374,football_data_org_537374,2026-06-27T00:00:00Z,GROUP_STAGE,Group Stage,GROUP_H,Cape Verde Islands,Saudi Arabia,1930.0,801.0,0.0,0.0,,,Draw,FINISHED,FINISHED,,True,False,False,False,,,,football_data_org,football_data_org,2026-07-10T05:20:09Z
537367,football_data_org_537367,2026-06-27T03:00:00Z,GROUP_STAGE,Group Stage,GROUP_G,New Zealand,Belgium,783.0,805.0,1.0,5.0,,,Belgium,FINISHED,FINISHED,,True,False,False,False,,,,football_data_org,football_data_org,2026-07-10T05:20:09Z
537368,football_data_org_537368,2026-06-27T03:00:00Z,GROUP_STAGE,Group Stage,GROUP_G,Egypt,Iran,825.0,840.0,1.0,1.0,,,Draw,FINISHED,FINISHED,,True,False,False,False,,,,football_data_org,football_data_org,2026-07-10T05:20:09Z
537413,football_data_org_537413,2026-06-27T21:00:00Z,GROUP_STAGE,Group Stage,GROUP_L,Panama,England,1836.0,770.0,0.0,2.0,,,England,FINISHED,FINISHED,,True,False,False,False,,,,football_data_org,football_data_org,2026-07-10T05:20:09Z
537414,football_data_org_537414,2026-06-27T21:00:00Z,GROUP_STAGE,Group Stage,GROUP_L,Croatia,Ghana,799.0,763.0,2.0,1.0,,,Croatia,FINISHED,FINISHED,,True,False,False,False,,,,football_data_org,football_data_org,2026-07-10T05:20:09Z
537407,football_data_org_537407,2026-06-27T23:30:00Z,GROUP_STAGE,Group Stage,GROUP_K,Colombia,Portugal,818.0,765.0,0.0,0.0,,,Draw,FINISHED,FINISHED,,True,False,False,False,,,,football_data_org,football_data_org,2026-07-10T05:20:09Z
537408,football_data_org_537408,2026-06-27T23:30:00Z,GROUP_STAGE,Group Stage,GROUP_K,Congo DR,Uzbekistan,1934.0,8070.0,3.0,1.0,,,Congo DR,FINISHED,FINISHED,,True,False,False,False,,,,football_data_org,football_data_org,2026-07-10T05:20:09Z
537401,football_data_org_537401,2026-06-28T02:00:00Z,GROUP_STAGE,Group Stage,GROUP_J,Jordan,Argentina,8049.0,762.0,1.0,3.0,,,Argentina,FINISHED,FINISHED,,True,False,False,False,,,,football_data_org,football_data_org,2026-07-10T05:20:09Z
537402,football_data_org_537402,2026-06-28T02:00:00Z,GROUP_STAGE,Group Stage,GROUP_J,Algeria,Austria,778.0,816.0,3.0,3.0,,,Draw,FINISHED,FINISHED,,True,False,False,False,,,,football_data_org,football_data_org,2026-07-10T05:20:09Z
537417,football_data_org_537417,2026-06-28T19:00:00Z,LAST_32,Round of 32,,South Africa,Canada,774.0,828.0,0.0,1.0,,,Canada,FINISHED,FINISHED,,True,False,False,True,,,,football_data_org,football_data_org,2026-07-10T05:20:09Z
537423,football_data_org_537423,2026-06-29T17:00:00Z,LAST_32,Round of 32,,Brazil,Japan,764.0,766.0,2.0,1.0,,,Brazil,FINISHED,FINISHED,,True,False,False,True,,,,football_data_org,football_data_org,2026-07-10T05:20:09Z
537415,football_data_org_537415,2026-06-29T20:30:00Z,LAST_32,Round of 32,,Germany,Paraguay,759.0,761.0,4.0,5.0,3.0,4.0,Paraguay,FINISHED,FINISHED,,True,False,False,True,,,,football_data_org,football_data_org,2026-07-10T05:20:09Z
537418,football_data_org_537418,2026-06-30T01:00:00Z,LAST_32,Round of 32,,Netherlands,Morocco,8601.0,815.0,3.0,4.0,2.0,3.0,Morocco,FINISHED,FINISHED,,True,False,False,True,,,,football_data_org,football_data_org,2026-07-10T05:20:09Z
537424,football_data_org_537424,2026-06-30T17:00:00Z,LAST_32,Round of 32,,Ivory Coast,Norway,1935.0,8872.0,1.0,2.0,,,Norway,FINISHED,FINISHED,,True,False,False,True,,,,football_data_org,football_data_org,2026-07-10T05:20:09Z
537416,football_data_org_537416,2026-06-30T21:00:00Z,LAST_32,Round of 32,,France,Sweden,773.0,792.0,3.0,0.0,,,France,FINISHED,FINISHED,,True,False,False,True,,,,football_data_org,football_data_org,2026-07-10T05:20:09Z
537425,football_data_org_537425,2026-07-01T02:00:00Z,LAST_32,Round of 32,,Mexico,Ecuador,769.0,791.0,2.0,0.0,,,Mexico,FINISHED,FINISHED,,True,False,False,True,,,,football_data_org,football_data_org,2026-07-10T05:20:09Z
537426,football_data_org_537426,2026-07-01T16:00:00Z,LAST_32,Round of 32,,England,Congo DR,770.0,1934.0,2.0,1.0,,,England,FINISHED,FINISHED,,True,False,False,True,,,,football_data_org,football_data_org,2026-07-10T05:20:09Z
537422,football_data_org_537422,2026-07-01T20:00:00Z,LAST_32,Round of 32,,Belgium,Senegal,805.0,804.0,3.0,2.0,,,Belgium,FINISHED,FINISHED,,True,False,False,True,,,,football_data_org,football_data_org,2026-07-10T05:20:09Z
537421,football_data_org_537421,2026-07-02T00:00:00Z,LAST_32,Round of 32,,United States,Bosnia-Herzegovina,771.0,1060.0,2.0,0.0,,,United States,FINISHED,FINISHED,,True,False,False,True,,,,football_data_org,football_data_org,2026-07-10T05:20:09Z
537420,football_data_org_537420,2026-07-02T19:00:00Z,LAST_32,Round of 32,,Spain,Austria,760.0,816.0,3.0,0.0,,,Spain,FINISHED,FINISHED,,True,False,False,True,,,,football_data_org,football_data_org,2026-07-10T05:20:09Z
537419,football_data_org_537419,2026-07-02T23:00:00Z,LAST_32,Round of 32,,Portugal,Croatia,765.0,799.0,2.0,1.0,,,Portugal,FINISHED,FINISHED,,True,False,False,True,,,,football_data_org,football_data_org,2026-07-10T05:20:09Z
537429,football_data_org_537429,2026-07-03T03:00:00Z,LAST_32,Round of 32,,Switzerland,Algeria,788.0,778.0,2.0,0.0,,,Switzerland,FINISHED,FINISHED,,True,False,False,True,,,,football_data_org,football_data_org,2026-07-10T05:20:09Z
537428,football_data_org_537428,2026-07-03T18:00:00Z,LAST_32,Round of 32,,Australia,Egypt,779.0,825.0,3.0,5.0,2.0,4.0,Egypt,FINISHED,FINISHED,,True,False,False,True,,,,football_data_org,football_data_org,2026-07-10T05:20:09Z
537427,football_data_org_537427,2026-07-03T22:00:00Z,LAST_32,Round of 32,,Argentina,Cape Verde Islands,762.0,1930.0,3.0,2.0,,,Argentina,FINISHED,FINISHED,,True,False,False,True,,,,football_data_org,football_data_org,2026-07-10T05:20:09Z
537430,football_data_org_537430,2026-07-04T01:30:00Z,LAST_32,Round of 32,,Colombia,Ghana,818.0,763.0,1.0,0.0,,,Colombia,FINISHED,FINISHED,,True,False,False,True,,,,football_data_org,football_data_org,2026-07-10T05:20:09Z
537376,football_data_org_537376,2026-07-04T17:00:00Z,LAST_16,Round of 16,,Canada,Morocco,828.0,815.0,0.0,3.0,,,Morocco,FINISHED,FINISHED,,True,False,False,True,,,,football_data_org,football_data_org,2026-07-10T05:20:09Z
537375,football_data_org_537375,2026-07-04T21:00:00Z,LAST_16,Round of 16,,Paraguay,France,761.0,773.0,0.0,1.0,,,France,FINISHED,FINISHED,,True,False,False,True,,,,football_data_org,football_data_org,2026-07-10T05:20:09Z
537377,football_data_org_537377,2026-07-05T20:00:00Z,LAST_16,Round of 16,,Brazil,Norway,764.0,8872.0,1.0,2.0,,,Norway,FINISHED,FINISHED,,True,False,False,True,,,,football_data_org,football_data_org,2026-07-10T05:20:09Z
537378,football_data_org_537378,2026-07-06T01:00:00Z,LAST_16,Round of 16,,Mexico,England,769.0,770.0,2.0,3.0,,,England,FINISHED,FINISHED,,True,False,False,True,,,,football_data_org,football_data_org,2026-07-10T05:20:09Z
537379,football_data_org_537379,2026-07-06T19:00:00Z,LAST_16,Round of 16,,Portugal,Spain,765.0,760.0,0.0,1.0,,,Spain,FINISHED,FINISHED,,True,False,False,True,,,,football_data_org,football_data_org,2026-07-10T05:20:09Z
537380,football_data_org_537380,2026-07-07T00:00:00Z,LAST_16,Round of 16,,United States,Belgium,771.0,805.0,1.0,4.0,,,Belgium,FINISHED,FINISHED,,True,False,False,True,,,,football_data_org,football_data_org,2026-07-10T05:20:09Z
537381,football_data_org_537381,2026-07-07T16:00:00Z,LAST_16,Round of 16,,Argentina,Egypt,762.0,825.0,3.0,2.0,,,Argentina,FINISHED,FINISHED,,True,False,False,True,,,,football_data_org,football_data_org,2026-07-10T05:20:09Z
537382,football_data_org_537382,2026-07-07T20:00:00Z,LAST_16,Round of 16,,Switzerland,Colombia,788.0,818.0,4.0,3.0,4.0,3.0,Switzerland,FINISHED,FINISHED,,True,False,False,True,,,,football_data_org,football_data_org,2026-07-10T05:20:09Z
537383,football_data_org_537383,2026-07-09T20:00:00Z,QUARTER_FINALS,Quarterfinal,,France,Morocco,773.0,815.0,2.0,0.0,,,France,FINISHED,FINISHED,,True,False,False,True,,,,football_data_org,football_data_org,2026-07-10T05:20:09Z
537384,football_data_org_537384,2026-07-10T19:00:00Z,QUARTER_FINALS,Quarterfinal,,Spain,Belgium,760.0,805.0,,,,,,TIMED,TIMED,,False,False,True,True,,,,football_data_org,football_data_org,2026-07-10T05:20:09Z
537385,football_data_org_537385,2026-07-11T21:00:00Z,QUARTER_FINALS,Quarterfinal,,Norway,England,8872.0,770.0,,,,,,TIMED,TIMED,,False,False,True,True,,,,football_data_org,football_data_org,2026-07-10T05:20:09Z
537386,football_data_org_537386,2026-07-12T01:00:00Z,QUARTER_FINALS,Quarterfinal,,Argentina,Switzerland,762.0,788.0,,,,,,TIMED,TIMED,,False,False,True,True,,,,football_data_org,football_data_org,2026-07-10T05:20:09Z
537387,football_data_org_537387,2026-07-14T19:00:00Z,SEMI_FINALS,Semifinal,,France,,773.0,,,,,,,TIMED,TIMED,,False,False,True,True,,,,football_data_org,football_data_org,2026-07-10T05:20:09Z
537388,football_data_org_537388,2026-07-15T19:00:00Z,SEMI_FINALS,Semifinal,,,,,,,,,,,TIMED,TIMED,,False,False,True,True,,,,football_data_org,football_data_org,2026-07-10T05:20:09Z
537389,football_data_org_537389,2026-07-18T21:00:00Z,THIRD_PLACE,Third Place Playoff,,,,,,,,,,,TIMED,TIMED,,False,False,True,True,,,,football_data_org,football_data_org,2026-07-10T05:20:09Z
537390,football_data_org_537390,2026-07-19T19:00:00Z,FINAL,Final,,,,,,,,,,,TIMED,TIMED,,False,False,True,True,,,,football_data_org,football_data_org,2026-07-10T05:20:09Z
