simulation_id,finalist_1,finalist_2,finalist_pair_key,champion,runner_up,semifinalists,fallback_mapping_used
140,Spain,Argentina,Argentina vs Spain,Argentina,Spain,,True
141,Spain,England,England vs Spain,Spain,England,,True
142,Spain,England,England vs Spain,Spain,England,,True
143,Spain,Argentina,Argentina vs Spain,Spain,Argentina,,True
144,Spain,England,England vs Spain,Spain,England,,True
145,Spain,Argentina,Argentina vs Spain,Spain,Argentina,,True
146,Spain,Argentina,Argentina vs Spain,Spain,Argentina,,True
147,Spain,Argentina,Argentina vs Spain,Spain,Argentina,,True
148,Spain,Argentina,Argentina vs Spain,Argentina,Spain,,True
149,Spain,Argentina,Argentina vs Spain,Argentina,Spain,,True
150,Spain,Argentina,Argentina vs Spain,Argentina,Spain,,True
151,Spain,Argentina,Argentina vs Spain,Spain,Argentina,,True
152,Spain,Argentina,Argentina vs Spain,Argentina,Spain,,True
153,Spain,Argentina,Argentina vs Spain,Spain,Argentina,,True
154,Spain,England,England vs Spain,England,Spain,,True
155,Spain,England,England vs Spain,Spain,England,,True
156,Spain,Argentina,Argentina vs Spain,Spain,Argentina,,True
157,Spain,England,England vs Spain,Spain,England,,True
158,Spain,England,England vs Spain,Spain,England,,True
159,Spain,England,England vs Spain,England,Spain,,True
160,Spain,England,England vs Spain,England,Spain,,True
161,Spain,Argentina,Argentina vs Spain,Spain,Argentina,,True
162,Spain,England,England vs Spain,Spain,England,,True
163,Spain,Argentina,Argentina vs Spain,Argentina,Spain,,True
164,Spain,Argentina,Argentina vs Spain,Argentina,Spain,,True
165,Spain,Argentina,Argentina vs Spain,Spain,Argentina,,True
166,Spain,Argentina,Argentina vs Spain,Spain,Argentina,,True
167,Spain,Argentina,Argentina vs Spain,Argentina,Spain,,True
168,Spain,England,England vs Spain,England,Spain,,True
169,Spain,England,England vs Spain,England,Spain,,True
170,Spain,England,England vs Spain,England,Spain,,True
171,Spain,England,England vs Spain,England,Spain,,True
172,Spain,Argentina,Argentina vs Spain,Argentina,Spain,,True
173,Spain,Argentina,Argentina vs Spain,Argentina,Spain,,True
174,Spain,Argentina,Argentina vs Spain,Spain,Argentina,,True
175,Spain,Argentina,Argentina vs Spain,Spain,Argentina,,True
176,Spain,Argentina,Argentina vs Spain,Spain,Argentina,,True
177,Spain,Argentina,Argentina vs Spain,Argentina,Spain,,True
178,Spain,Argentina,Argentina vs Spain,Argentina,Spain,,True
179,Spain,Argentina,Argentina vs Spain,Argentina,Spain,,True
180,Spain,Argentina,Argentina vs Spain,Argentina,Spain,,True
181,Spain,Argentina,Argentina vs Spain,Spain,Argentina,,True
182,Spain,England,England vs Spain,Spain,England,,True
183,Spain,Argentina,Argentina vs Spain,Spain,Argentina,,True
184,Spain,Argentina,Argentina vs Spain,Argentina,Spain,,True
185,Spain,England,England vs Spain,England,Spain,,True
