group,rank,team,team_id,played,wins,draws,losses,goals_for,goals_against,goal_difference,points,form,qualification_status,source,provider,last_updated
STAGE,43,Ghana,763,3,1,1,1,2,2,0,4,"L,D,W",unknown,football_data_org,football_data_org,2026-07-10T06:51:00+00:00
STAGE,44,Bosnia-Herzegovina,1060,3,1,1,1,5,6,-1,4,"W,L,D",unknown,football_data_org,football_data_org,2026-07-10T06:51:00+00:00
STAGE,45,South Africa,774,3,1,1,1,2,3,-1,4,"W,D,L",unknown,football_data_org,football_data_org,2026-07-10T06:51:00+00:00
STAGE,46,Algeria,778,3,1,1,1,5,7,-2,4,"D,W,L",unknown,football_data_org,football_data_org,2026-07-10T06:51:00+00:00
STAGE,47,Paraguay,761,3,1,1,1,2,4,-2,4,"D,W,L",unknown,football_data_org,football_data_org,2026-07-10T06:51:00+00:00
STAGE,48,Senegal,804,1,1,0,0,5,0,5,3,,unknown,football_data_org,football_data_org,2026-07-10T06:51:00+00:00
STAGE,49,Belgium,805,1,1,0,0,5,1,4,3,,unknown,football_data_org,football_data_org,2026-07-10T06:51:00+00:00
STAGE,50,Sweden,792,1,1,0,0,5,1,4,3,,unknown,football_data_org,football_data_org,2026-07-10T06:51:00+00:00
STAGE,51,France,773,1,1,0,0,4,1,3,3,,unknown,football_data_org,football_data_org,2026-07-10T06:51:00+00:00
STAGE,52,Norway,8872,1,1,0,0,4,1,3,3,,unknown,football_data_org,football_data_org,2026-07-10T06:51:00+00:00
STAGE,53,Brazil,764,1,1,0,0,3,0,3,3,,unknown,football_data_org,football_data_org,2026-07-10T06:51:00+00:00
STAGE,54,Mexico,769,1,1,0,0,3,0,3,3,,unknown,football_data_org,football_data_org,2026-07-10T06:51:00+00:00
STAGE,55,Senegal,804,3,1,0,2,8,6,2,3,"W,L,L",unknown,football_data_org,football_data_org,2026-07-10T06:51:00+00:00
STAGE,56,Morocco,815,1,1,0,0,4,2,2,3,,unknown,football_data_org,football_data_org,2026-07-10T06:51:00+00:00
STAGE,57,Argentina,762,1,1,0,0,3,1,2,3,,unknown,football_data_org,football_data_org,2026-07-10T06:51:00+00:00
STAGE,58,Austria,816,1,1,0,0,3,1,2,3,,unknown,football_data_org,football_data_org,2026-07-10T06:51:00+00:00
STAGE,59,Bosnia-Herzegovina,1060,1,1,0,0,3,1,2,3,,unknown,football_data_org,football_data_org,2026-07-10T06:51:00+00:00
STAGE,60,Colombia,818,1,1,0,0,3,1,2,3,,unknown,football_data_org,football_data_org,2026-07-10T06:51:00+00:00
STAGE,61,Congo DR,1934,1,1,0,0,3,1,2,3,,unknown,football_data_org,football_data_org,2026-07-10T06:51:00+00:00
STAGE,62,Netherlands,8601,1,1,0,0,3,1,2,3,,unknown,football_data_org,football_data_org,2026-07-10T06:51:00+00:00
STAGE,63,Australia,779,1,1,0,0,2,0,2,3,,unknown,football_data_org,football_data_org,2026-07-10T06:51:00+00:00
STAGE,64,England,770,1,1,0,0,2,0,2,3,,unknown,football_data_org,football_data_org,2026-07-10T06:51:00+00:00
STAGE,65,Ivory Coast,1935,2,1,0,1,3,2,1,3,,unknown,football_data_org,football_data_org,2026-07-10T06:51:00+00:00
STAGE,66,Croatia,799,1,1,0,0,2,1,1,3,,unknown,football_data_org,football_data_org,2026-07-10T06:51:00+00:00
STAGE,67,South Korea,772,1,1,0,0,2,1,1,3,,unknown,football_data_org,football_data_org,2026-07-10T06:51:00+00:00
STAGE,68,Ghana,763,1,1,0,0,1,0,1,3,,unknown,football_data_org,football_data_org,2026-07-10T06:51:00+00:00
STAGE,69,Ivory Coast,1935,1,1,0,0,1,0,1,3,,unknown,football_data_org,football_data_org,2026-07-10T06:51:00+00:00
STAGE,70,Scotland,8873,1,1,0,0,1,0,1,3,,unknown,football_data_org,football_data_org,2026-07-10T06:51:00+00:00
STAGE,71,South Africa,774,1,1,0,0,1,0,1,3,,unknown,football_data_org,football_data_org,2026-07-10T06:51:00+00:00
STAGE,72,Spain,760,1,1,0,0,1,0,1,3,,unknown,football_data_org,football_data_org,2026-07-10T06:51:00+00:00
STAGE,73,Iran,840,3,0,3,0,3,3,0,3,"D,D,D",unknown,football_data_org,football_data_org,2026-07-10T06:51:00+00:00
STAGE,74,Turkey,803,2,1,0,1,3,3,0,3,,unknown,football_data_org,football_data_org,2026-07-10T06:51:00+00:00
STAGE,75,Cape Verde Islands,1930,3,0,3,0,2,2,0,3,"D,D,D",unknown,football_data_org,football_data_org,2026-07-10T06:51:00+00:00
STAGE,76,Croatia,799,2,1,0,1,3,4,-1,3,,unknown,football_data_org,football_data_org,2026-07-10T06:51:00+00:00
STAGE,77,South Korea,772,3,1,0,2,2,3,-1,3,"L,L,W",unknown,football_data_org,football_data_org,2026-07-10T06:51:00+00:00
STAGE,78,Norway,8872,2,1,0,1,4,6,-2,3,,unknown,football_data_org,football_data_org,2026-07-10T06:51:00+00:00
STAGE,79,Turkey,803,3,1,0,2,3,5,-2,3,"W,L,L",unknown,football_data_org,football_data_org,2026-07-10T06:51:00+00:00
STAGE,80,Algeria,778,2,1,0,1,2,4,-2,3,,unknown,football_data_org,football_data_org,2026-07-10T06:51:00+00:00
STAGE,81,Paraguay,761,2,1,0,1,2,4,-2,3,,unknown,football_data_org,football_data_org,2026-07-10T06:51:00+00:00
STAGE,82,Scotland,8873,3,1,0,2,1,4,-3,3,"L,L,W",unknown,football_data_org,football_data_org,2026-07-10T06:51:00+00:00
STAGE,83,Cape Verde Islands,1930,2,0,2,0,2,2,0,2,,unknown,football_data_org,football_data_org,2026-07-10T06:51:00+00:00
STAGE,84,Belgium,805,2,0,2,0,1,1,0,2,,unknown,football_data_org,football_data_org,2026-07-10T06:51:00+00:00
STAGE,85,Iran,840,2,0,2,0,1,1,0,2,,unknown,football_data_org,football_data_org,2026-07-10T06:51:00+00:00
STAGE,86,Uruguay,758,3,0,2,1,3,4,-1,2,"L,D,D",unknown,football_data_org,football_data_org,2026-07-10T06:51:00+00:00
STAGE,87,Saudi Arabia,801,3,0,2,1,1,5,-4,2,"D,L,D",unknown,football_data_org,football_data_org,2026-07-10T06:51:00+00:00
STAGE,88,Algeria,778,1,0,1,0,3,3,0,1,,unknown,football_data_org,football_data_org,2026-07-10T06:51:00+00:00
STAGE,89,Iran,840,1,0,1,0,2,2,0,1,,unknown,football_data_org,football_data_org,2026-07-10T06:51:00+00:00
STAGE,90,New Zealand,783,1,0,1,0,2,2,0,1,,unknown,football_data_org,football_data_org,2026-07-10T06:51:00+00:00
STAGE,91,Egypt,825,1,0,1,0,1,1,0,1,,unknown,football_data_org,football_data_org,2026-07-10T06:51:00+00:00
STAGE,92,Japan,766,1,0,1,0,1,1,0,1,,unknown,football_data_org,football_data_org,2026-07-10T06:51:00+00:00
STAGE,93,Qatar,8030,1,0,1,0,1,1,0,1,,unknown,football_data_org,football_data_org,2026-07-10T06:51:00+00:00
STAGE,94,Saudi Arabia,801,1,0,1,0,1,1,0,1,,unknown,football_data_org,football_data_org,2026-07-10T06:51:00+00:00
STAGE,95,Switzerland,788,1,0,1,0,1,1,0,1,,unknown,football_data_org,football_data_org,2026-07-10T06:51:00+00:00
