group,rank,team,team_id,played,wins,draws,losses,goals_for,goals_against,goal_difference,points,form,qualification_status,source,provider,last_updated
GROUP_STAGE,27,Bosnia-Herzegovina,1060,3,1,1,1,5,6,-1,4,"W,L,D",27,football_data_org,football_data_org,2026-07-20T06:04:10+00:00
GROUP_STAGE,28,South Africa,774,3,1,1,1,2,3,-1,4,"W,D,L",28,football_data_org,football_data_org,2026-07-20T06:04:10+00:00
GROUP_STAGE,29,Algeria,778,3,1,1,1,5,7,-2,4,"D,W,L",29,football_data_org,football_data_org,2026-07-20T06:04:10+00:00
GROUP_STAGE,30,Paraguay,761,3,1,1,1,2,4,-2,4,"D,W,L",30,football_data_org,football_data_org,2026-07-20T06:04:10+00:00
GROUP_STAGE,31,Senegal,804,3,1,0,2,8,6,2,3,"W,L,L",31,football_data_org,football_data_org,2026-07-20T06:04:10+00:00
GROUP_STAGE,32,Iran,840,3,0,3,0,3,3,0,3,"D,D,D",32,football_data_org,football_data_org,2026-07-20T06:04:10+00:00
GROUP_STAGE,33,Cape Verde Islands,1930,3,0,3,0,2,2,0,3,"D,D,D",33,football_data_org,football_data_org,2026-07-20T06:04:10+00:00
GROUP_STAGE,34,South Korea,772,3,1,0,2,2,3,-1,3,"L,L,W",34,football_data_org,football_data_org,2026-07-20T06:04:10+00:00
GROUP_STAGE,35,Turkey,803,3,1,0,2,3,5,-2,3,"W,L,L",35,football_data_org,football_data_org,2026-07-20T06:04:10+00:00
GROUP_STAGE,36,Scotland,8873,3,1,0,2,1,4,-3,3,"L,L,W",36,football_data_org,football_data_org,2026-07-20T06:04:10+00:00
GROUP_STAGE,37,Uruguay,758,3,0,2,1,3,4,-1,2,"L,D,D",37,football_data_org,football_data_org,2026-07-20T06:04:10+00:00
GROUP_STAGE,38,Saudi Arabia,801,3,0,2,1,1,5,-4,2,"D,L,D",38,football_data_org,football_data_org,2026-07-20T06:04:10+00:00
GROUP_STAGE,39,Czechia,798,3,0,1,2,2,6,-4,1,"L,D,L",39,football_data_org,football_data_org,2026-07-20T06:04:10+00:00
GROUP_STAGE,40,New Zealand,783,3,0,1,2,4,10,-6,1,"L,L,D",40,football_data_org,football_data_org,2026-07-20T06:04:10+00:00
GROUP_STAGE,41,Qatar,8030,3,0,1,2,2,10,-8,1,"L,L,D",41,football_data_org,football_data_org,2026-07-20T06:04:10+00:00
GROUP_STAGE,42,Curaçao,9460,3,0,1,2,1,9,-8,1,"L,D,L",42,football_data_org,football_data_org,2026-07-20T06:04:10+00:00
GROUP_STAGE,43,Panama,1836,3,0,0,3,0,4,-4,0,"L,L,L",43,football_data_org,football_data_org,2026-07-20T06:04:10+00:00
GROUP_STAGE,44,Jordan,8049,3,0,0,3,3,8,-5,0,"L,L,L",44,football_data_org,football_data_org,2026-07-20T06:04:10+00:00
GROUP_STAGE,45,Haiti,836,3,0,0,3,2,8,-6,0,"L,L,L",45,football_data_org,football_data_org,2026-07-20T06:04:10+00:00
GROUP_STAGE,46,Uzbekistan,8070,3,0,0,3,2,11,-9,0,"L,L,L",46,football_data_org,football_data_org,2026-07-20T06:04:10+00:00
GROUP_STAGE,47,Tunisia,802,3,0,0,3,2,12,-10,0,"L,L,L",47,football_data_org,football_data_org,2026-07-20T06:04:10+00:00
GROUP_STAGE,48,Iraq,8062,3,0,0,3,1,12,-11,0,"L,L,L",48,football_data_org,football_data_org,2026-07-20T06:04:10+00:00
GROUP_STAGE,1,Germany,759,2,2,0,0,9,2,7,6,,1,football_data_org,football_data_org,2026-07-20T06:04:10+00:00
GROUP_STAGE,2,United States,771,2,2,0,0,6,1,5,6,,2,football_data_org,football_data_org,2026-07-20T06:04:10+00:00
GROUP_STAGE,3,France,773,2,2,0,0,6,1,5,6,,3,football_data_org,football_data_org,2026-07-20T06:04:10+00:00
GROUP_STAGE,4,Argentina,762,2,2,0,0,5,0,5,6,,4,football_data_org,football_data_org,2026-07-20T06:04:10+00:00
GROUP_STAGE,5,Switzerland,788,2,2,0,0,6,2,4,6,,5,football_data_org,football_data_org,2026-07-20T06:04:10+00:00
GROUP_STAGE,6,Mexico,769,2,2,0,0,3,0,3,6,,6,football_data_org,football_data_org,2026-07-20T06:04:10+00:00
