simulation_id,stage,team_a,team_b,winner,loser,result_label,probability_source
22,Quarterfinal,Argentina,Switzerland,Argentina,Switzerland,team_a_win,live_model_exact
22,Semifinal,France,Spain,Spain,France,team_a_loss,elo_fallback
22,Semifinal,Norway,Argentina,Norway,Argentina,team_a_win,elo_fallback
22,Final,Spain,Norway,Norway,Spain,team_a_loss,elo_fallback
23,Quarterfinal,France,Morocco,France,Morocco,completed_result,completed_result
23,Quarterfinal,Spain,Belgium,Spain,Belgium,team_a_win,live_model_exact
23,Quarterfinal,Norway,England,Norway,England,team_a_win,live_model_exact
23,Quarterfinal,Argentina,Switzerland,Argentina,Switzerland,team_a_win,live_model_exact
23,Semifinal,France,Spain,France,Spain,team_a_win,elo_fallback
23,Semifinal,Norway,Argentina,Argentina,Norway,team_a_loss,elo_fallback
23,Final,France,Argentina,France,Argentina,team_a_win,elo_fallback
24,Quarterfinal,France,Morocco,France,Morocco,completed_result,completed_result
24,Quarterfinal,Spain,Belgium,Belgium,Spain,team_a_loss,live_model_exact
24,Quarterfinal,Norway,England,Norway,England,team_a_win,live_model_exact
24,Quarterfinal,Argentina,Switzerland,Argentina,Switzerland,team_a_win,live_model_exact
24,Semifinal,France,Belgium,France,Belgium,team_a_win,elo_fallback
24,Semifinal,Norway,Argentina,Argentina,Norway,team_a_loss,elo_fallback
24,Final,France,Argentina,Argentina,France,team_a_loss,elo_fallback
25,Quarterfinal,France,Morocco,France,Morocco,completed_result,completed_result
25,Quarterfinal,Spain,Belgium,Spain,Belgium,team_a_win,live_model_exact
25,Quarterfinal,Norway,England,Norway,England,team_a_win,live_model_exact
25,Quarterfinal,Argentina,Switzerland,Argentina,Switzerland,team_a_win,live_model_exact
25,Semifinal,France,Spain,Spain,France,team_a_loss,elo_fallback
25,Semifinal,Norway,Argentina,Argentina,Norway,team_a_loss,elo_fallback
25,Final,Spain,Argentina,Spain,Argentina,team_a_win,elo_fallback
