match_id,fixture_id,stage,team_a,team_b,prob_team_a_loss,prob_draw,prob_team_a_win,prob_team_a_advance,prob_team_b_advance,probability_source,is_completed,is_simulated,last_updated
football_data_org_537421,537421,Round of 32,United States,Bosnia-Herzegovina,0.0,0.0,1.0,1.0,0.0,completed_result,True,False,2026-07-16T00:14:47+00:00
football_data_org_537420,537420,Round of 32,Spain,Austria,0.0,0.0,1.0,1.0,0.0,completed_result,True,False,2026-07-16T00:14:47+00:00
football_data_org_537419,537419,Round of 32,Portugal,Croatia,0.0,0.0,1.0,1.0,0.0,completed_result,True,False,2026-07-16T00:14:47+00:00
football_data_org_537429,537429,Round of 32,Switzerland,Algeria,0.0,0.0,1.0,1.0,0.0,completed_result,True,False,2026-07-16T00:14:47+00:00
football_data_org_537428,537428,Round of 32,Australia,Egypt,1.0,0.0,0.0,0.0,1.0,completed_result,True,False,2026-07-16T00:14:47+00:00
football_data_org_537427,537427,Round of 32,Argentina,Cape Verde Islands,0.0,0.0,1.0,1.0,0.0,completed_result,True,False,2026-07-16T00:14:47+00:00
football_data_org_537430,537430,Round of 32,Colombia,Ghana,0.0,0.0,1.0,1.0,0.0,completed_result,True,False,2026-07-16T00:14:47+00:00
football_data_org_537376,537376,Round of 16,Canada,Morocco,1.0,0.0,0.0,0.0,1.0,completed_result,True,False,2026-07-16T00:14:47+00:00
football_data_org_537375,537375,Round of 16,Paraguay,France,1.0,0.0,0.0,0.0,1.0,completed_result,True,False,2026-07-16T00:14:47+00:00
football_data_org_537377,537377,Round of 16,Brazil,Norway,1.0,0.0,0.0,0.0,1.0,completed_result,True,False,2026-07-16T00:14:47+00:00
football_data_org_537378,537378,Round of 16,Mexico,England,1.0,0.0,0.0,0.0,1.0,completed_result,True,False,2026-07-16T00:14:47+00:00
football_data_org_537379,537379,Round of 16,Portugal,Spain,1.0,0.0,0.0,0.0,1.0,completed_result,True,False,2026-07-16T00:14:47+00:00
football_data_org_537380,537380,Round of 16,United States,Belgium,1.0,0.0,0.0,0.0,1.0,completed_result,True,False,2026-07-16T00:14:47+00:00
football_data_org_537381,537381,Round of 16,Argentina,Egypt,0.0,0.0,1.0,1.0,0.0,completed_result,True,False,2026-07-16T00:14:47+00:00
football_data_org_537382,537382,Round of 16,Switzerland,Colombia,0.0,0.0,1.0,1.0,0.0,completed_result,True,False,2026-07-16T00:14:47+00:00
football_data_org_537383,537383,Quarterfinal,France,Morocco,0.0,0.0,1.0,1.0,0.0,completed_result,True,False,2026-07-16T00:14:47+00:00
football_data_org_537384,537384,Quarterfinal,Spain,Belgium,0.0,0.0,1.0,1.0,0.0,completed_result,True,False,2026-07-16T00:14:47+00:00
football_data_org_537385,537385,Quarterfinal,Norway,England,1.0,0.0,0.0,0.0,1.0,completed_result,True,False,2026-07-16T00:14:47+00:00
football_data_org_537386,537386,Quarterfinal,Argentina,Switzerland,0.0,0.0,1.0,1.0,0.0,completed_result,True,False,2026-07-16T00:14:47+00:00
football_data_org_537387,537387,Semifinal,France,Spain,1.0,0.0,0.0,0.0,1.0,completed_result,True,False,2026-07-16T00:14:47+00:00
football_data_org_537388,537388,Semifinal,England,Argentina,1.0,0.0,0.0,0.0,1.0,completed_result,True,False,2026-07-16T00:14:47+00:00
football_data_org_537389,537389,Third Place Playoff,France,,,,,,,unresolved_tbd,False,False,2026-07-16T00:14:47+00:00
football_data_org_537390,537390,Final,Spain,,,,,,,unresolved_tbd,False,False,2026-07-16T00:14:47+00:00
