match_id,stage,team_a,team_b,result_label,simulation_id,match_slot,winner,loser,probability_source
51.0,Group Stage,Scotland,Brazil,draw,2,,,,
52.0,Group Stage,Morocco,Haiti,draw,2,,,,
54.0,Group Stage,South Africa,South Korea,team_a_win,2,,,,
55.0,Group Stage,Curaçao,Ivory Coast,team_a_loss,2,,,,
56.0,Group Stage,Ecuador,Germany,team_a_loss,2,,,,
58.0,Group Stage,Tunisia,Netherlands,team_a_loss,2,,,,
60.0,Group Stage,Paraguay,Australia,draw,2,,,,
61.0,Group Stage,Norway,France,draw,2,,,,
64.0,Group Stage,Uruguay,Spain,team_a_win,2,,,,
65.0,Group Stage,Egypt,Iran,team_a_loss,2,,,,
66.0,Group Stage,New Zealand,Belgium,draw,2,,,,
67.0,Group Stage,Panama,England,team_a_loss,2,,,,
68.0,Group Stage,Croatia,Ghana,team_a_win,2,,,,
69.0,Group Stage,Colombia,Portugal,team_a_loss,2,,,,
71.0,Group Stage,Algeria,Austria,team_a_win,2,,,,
72.0,Group Stage,Jordan,Argentina,team_a_loss,2,,,,
,Round of 32,South Africa,Canada,team_a_win,2,R32_M1,South Africa,Canada,elo_fallback
,Round of 32,Morocco,Paraguay,team_a_loss,2,R32_M2,Paraguay,Morocco,elo_fallback
,Round of 32,Germany,Netherlands,team_a_win,2,R32_M3,Germany,Netherlands,elo_fallback
,Round of 32,Belgium,Saudi Arabia,team_a_win,2,R32_M4,Belgium,Saudi Arabia,elo_fallback
,Round of 32,Senegal,Algeria,team_a_win,2,R32_M5,Senegal,Algeria,elo_fallback
,Round of 32,Portugal,Croatia,team_a_loss,2,R32_M6,Croatia,Portugal,elo_fallback
,Round of 32,Switzerland,Mexico,team_a_loss,2,R32_M7,Mexico,Switzerland,elo_fallback
,Round of 32,United States,Brazil,team_a_win,2,R32_M8,United States,Brazil,elo_fallback
,Round of 32,Japan,Ivory Coast,team_a_loss,2,R32_M9,Ivory Coast,Japan,elo_fallback
,Round of 32,Uruguay,Iran,team_a_win,2,R32_M10,Uruguay,Iran,elo_fallback
,Round of 32,Argentina,Norway,team_a_win,2,R32_M11,Argentina,Norway,elo_fallback
,Round of 32,England,Colombia,team_a_loss,2,R32_M12,Colombia,England,elo_fallback
,Round of 32,Scotland,France,team_a_win,2,R32_M13,Scotland,France,elo_fallback
,Round of 32,New Zealand,Spain,team_a_win,2,R32_M14,New Zealand,Spain,elo_fallback
,Round of 32,Austria,Australia,team_a_win,2,R32_M15,Austria,Australia,elo_fallback
,Round of 32,Panama,Ecuador,team_a_loss,2,R32_M16,Ecuador,Panama,elo_fallback
,Round of 16,South Africa,Paraguay,team_a_loss,2,R16_M1,Paraguay,South Africa,elo_fallback
,Round of 16,Germany,Belgium,team_a_loss,2,R16_M2,Belgium,Germany,elo_fallback
,Round of 16,Senegal,Croatia,team_a_loss,2,R16_M3,Croatia,Senegal,elo_fallback
,Round of 16,Mexico,United States,team_a_win,2,R16_M4,Mexico,United States,elo_fallback
,Round of 16,Ivory Coast,Uruguay,team_a_loss,2,R16_M5,Uruguay,Ivory Coast,elo_fallback
,Round of 16,Argentina,Colombia,team_a_win,2,R16_M6,Argentina,Colombia,elo_fallback
,Round of 16,Scotland,New Zealand,team_a_win,2,R16_M7,Scotland,New Zealand,elo_fallback
,Round of 16,Austria,Ecuador,team_a_loss,2,R16_M8,Ecuador,Austria,elo_fallback
,Quarterfinal,Paraguay,Belgium,team_a_loss,2,QF_M1,Belgium,Paraguay,elo_fallback
,Quarterfinal,Croatia,Mexico,team_a_win,2,QF_M2,Croatia,Mexico,elo_fallback
,Quarterfinal,Uruguay,Argentina,team_a_loss,2,QF_M3,Argentina,Uruguay,elo_fallback
,Quarterfinal,Scotland,Ecuador,team_a_loss,2,QF_M4,Ecuador,Scotland,elo_fallback
,Semifinal,Belgium,Croatia,team_a_loss,2,SF_M1,Croatia,Belgium,elo_fallback
,Semifinal,Argentina,Ecuador,team_a_win,2,SF_M2,Argentina,Ecuador,elo_fallback
,Final,Croatia,Argentina,team_a_loss,2,FINAL_M1,Argentina,Croatia,elo_fallback
1.0,Group Stage,Mexico,South Africa,team_a_win,3,,,,
4.0,Group Stage,United States,Paraguay,team_a_win,3,,,,
5.0,Group Stage,Qatar,Switzerland,draw,3,,,,
6.0,Group Stage,Brazil,Morocco,team_a_win,3,,,,
7.0,Group Stage,Haiti,Scotland,team_a_loss,3,,,,
9.0,Group Stage,Germany,Curaçao,team_a_win,3,,,,
10.0,Group Stage,Netherlands,Japan,draw,3,,,,
11.0,Group Stage,Ivory Coast,Ecuador,team_a_win,3,,,,
14.0,Group Stage,Belgium,Egypt,team_a_win,3,,,,
15.0,Group Stage,Saudi Arabia,Uruguay,team_a_loss,3,,,,
16.0,Group Stage,Iran,New Zealand,draw,3,,,,
17.0,Group Stage,France,Senegal,team_a_win,3,,,,
19.0,Group Stage,Argentina,Algeria,team_a_win,3,,,,
20.0,Group Stage,Austria,Jordan,team_a_win,3,,,,
22.0,Group Stage,England,Croatia,draw,3,,,,
23.0,Group Stage,Ghana,Panama,team_a_loss,3,,,,
24.0,Group Stage,Uzbekistan,Colombia,team_a_win,3,,,,
27.0,Group Stage,Canada,Qatar,team_a_win,3,,,,
28.0,Group Stage,Mexico,South Korea,draw,3,,,,
29.0,Group Stage,United States,Australia,team_a_loss,3,,,,
30.0,Group Stage,Scotland,Morocco,team_a_loss,3,,,,
31.0,Group Stage,Brazil,Haiti,draw,3,,,,
34.0,Group Stage,Germany,Ivory Coast,team_a_loss,3,,,,
35.0,Group Stage,Ecuador,Curaçao,team_a_win,3,,,,
36.0,Group Stage,Tunisia,Japan,team_a_loss,3,,,,
37.0,Group Stage,Spain,Saudi Arabia,team_a_win,3,,,,
38.0,Group Stage,Belgium,Iran,team_a_win,3,,,,
40.0,Group Stage,New Zealand,Egypt,team_a_loss,3,,,,
41.0,Group Stage,Argentina,Austria,team_a_win,3,,,,
43.0,Group Stage,Norway,Senegal,draw,3,,,,
44.0,Group Stage,Jordan,Algeria,team_a_win,3,,,,
45.0,Group Stage,Portugal,Uzbekistan,team_a_win,3,,,,
46.0,Group Stage,England,Ghana,draw,3,,,,
47.0,Group Stage,Panama,Croatia,team_a_loss,3,,,,
49.0,Group Stage,Switzerland,Canada,draw,3,,,,
51.0,Group Stage,Scotland,Brazil,team_a_loss,3,,,,
52.0,Group Stage,Morocco,Haiti,team_a_win,3,,,,
54.0,Group Stage,South Africa,South Korea,team_a_loss,3,,,,
55.0,Group Stage,Curaçao,Ivory Coast,team_a_loss,3,,,,
56.0,Group Stage,Ecuador,Germany,team_a_loss,3,,,,
58.0,Group Stage,Tunisia,Netherlands,team_a_loss,3,,,,
60.0,Group Stage,Paraguay,Australia,team_a_loss,3,,,,
61.0,Group Stage,Norway,France,draw,3,,,,
64.0,Group Stage,Uruguay,Spain,team_a_loss,3,,,,
65.0,Group Stage,Egypt,Iran,team_a_win,3,,,,
66.0,Group Stage,New Zealand,Belgium,team_a_loss,3,,,,
67.0,Group Stage,Panama,England,draw,3,,,,
68.0,Group Stage,Croatia,Ghana,team_a_win,3,,,,
69.0,Group Stage,Colombia,Portugal,team_a_win,3,,,,
71.0,Group Stage,Algeria,Austria,team_a_win,3,,,,
72.0,Group Stage,Jordan,Argentina,team_a_loss,3,,,,
,Round of 32,Mexico,Switzerland,team_a_loss,3,R32_M1,Switzerland,Mexico,elo_fallback
,Round of 32,Brazil,United States,team_a_loss,3,R32_M2,United States,Brazil,elo_fallback
,Round of 32,Ivory Coast,Netherlands,team_a_loss,3,R32_M3,Netherlands,Ivory Coast,elo_fallback
,Round of 32,Belgium,Uruguay,team_a_loss,3,R32_M4,Uruguay,Belgium,elo_fallback
,Round of 32,France,Jordan,team_a_win,3,R32_M5,France,Jordan,elo_fallback
,Round of 32,Uzbekistan,Panama,team_a_loss,3,R32_M6,Panama,Uzbekistan,elo_fallback
,Round of 32,Canada,South Korea,team_a_win,3,R32_M7,Canada,South Korea,elo_fallback
,Round of 32,Australia,Morocco,team_a_loss,3,R32_M8,Morocco,Australia,elo_fallback
,Round of 32,Japan,Germany,team_a_win,3,R32_M9,Japan,Germany,elo_fallback
,Round of 32,Spain,Egypt,team_a_win,3,R32_M10,Spain,Egypt,elo_fallback
,Round of 32,Argentina,Norway,team_a_win,3,R32_M11,Argentina,Norway,elo_fallback
,Round of 32,Croatia,Portugal,team_a_loss,3,R32_M12,Portugal,Croatia,elo_fallback
,Round of 32,Colombia,New Zealand,team_a_win,3,R32_M13,Colombia,New Zealand,elo_fallback
,Round of 32,England,Senegal,team_a_win,3,R32_M14,England,Senegal,elo_fallback
,Round of 32,Scotland,Qatar,team_a_win,3,R32_M15,Scotland,Qatar,elo_fallback
,Round of 32,Ecuador,Austria,team_a_loss,3,R32_M16,Austria,Ecuador,elo_fallback
,Round of 16,Switzerland,United States,team_a_loss,3,R16_M1,United States,Switzerland,elo_fallback
,Round of 16,Netherlands,Uruguay,team_a_win,3,R16_M2,Netherlands,Uruguay,elo_fallback
,Round of 16,France,Panama,team_a_win,3,R16_M3,France,Panama,elo_fallback
,Round of 16,Canada,Morocco,team_a_loss,3,R16_M4,Morocco,Canada,elo_fallback
,Round of 16,Japan,Spain,team_a_win,3,R16_M5,Japan,Spain,elo_fallback
,Round of 16,Argentina,Portugal,team_a_win,3,R16_M6,Argentina,Portugal,elo_fallback
,Round of 16,Colombia,England,team_a_win,3,R16_M7,Colombia,England,elo_fallback
,Round of 16,Scotland,Austria,team_a_loss,3,R16_M8,Austria,Scotland,elo_fallback
,Quarterfinal,United States,Netherlands,team_a_loss,3,QF_M1,Netherlands,United States,elo_fallback
,Quarterfinal,France,Morocco,team_a_loss,3,QF_M2,Morocco,France,elo_fallback
,Quarterfinal,Japan,Argentina,team_a_loss,3,QF_M3,Argentina,Japan,elo_fallback
,Quarterfinal,Colombia,Austria,team_a_win,3,QF_M4,Colombia,Austria,elo_fallback
,Semifinal,Netherlands,Morocco,team_a_loss,3,SF_M1,Morocco,Netherlands,elo_fallback
,Semifinal,Argentina,Colombia,team_a_loss,3,SF_M2,Colombia,Argentina,elo_fallback
,Final,Morocco,Colombia,team_a_win,3,FINAL_M1,Morocco,Colombia,elo_fallback
1.0,Group Stage,Mexico,South Africa,team_a_win,4,,,,
4.0,Group Stage,United States,Paraguay,team_a_win,4,,,,
5.0,Group Stage,Qatar,Switzerland,team_a_loss,4,,,,
6.0,Group Stage,Brazil,Morocco,team_a_loss,4,,,,
7.0,Group Stage,Haiti,Scotland,team_a_win,4,,,,
9.0,Group Stage,Germany,Curaçao,team_a_win,4,,,,
10.0,Group Stage,Netherlands,Japan,team_a_win,4,,,,
11.0,Group Stage,Ivory Coast,Ecuador,team_a_win,4,,,,
14.0,Group Stage,Belgium,Egypt,team_a_win,4,,,,
15.0,Group Stage,Saudi Arabia,Uruguay,team_a_win,4,,,,
