match_id,date,stage,group,team_a,team_b,venue,city,country,status,source,last_updated
51,2026-06-24,Group Stage,Group C,Scotland,Brazil,Hard Rock Stadium,Miami,USA,scheduled,kaggle_world_cup_2026_schedule,2026-07-10T00:54:46+00:00
52,2026-06-24,Group Stage,Group C,Morocco,Haiti,Mercedes-Benz Stadium,Atlanta,USA,scheduled,kaggle_world_cup_2026_schedule,2026-07-10T00:54:46+00:00
53,2026-06-25,Group Stage,Group A,Winner UEFA Playoff D,Mexico,Estadio Azteca,Mexico City,Mexico,scheduled,kaggle_world_cup_2026_schedule,2026-07-10T00:54:46+00:00
54,2026-06-25,Group Stage,Group A,South Africa,South Korea,Estadio BBVA,Monterrey,Mexico,scheduled,kaggle_world_cup_2026_schedule,2026-07-10T00:54:46+00:00
55,2026-06-25,Group Stage,Group E,Curaçao,Ivory Coast,Lincoln Financial Field,Philadelphia,USA,scheduled,kaggle_world_cup_2026_schedule,2026-07-10T00:54:46+00:00
56,2026-06-25,Group Stage,Group E,Ecuador,Germany,MetLife Stadium,New York/New Jersey,USA,scheduled,kaggle_world_cup_2026_schedule,2026-07-10T00:54:46+00:00
57,2026-06-26,Group Stage,Group F,Japan,Winner UEFA Playoff B,AT&T Stadium,Dallas,USA,scheduled,kaggle_world_cup_2026_schedule,2026-07-10T00:54:46+00:00
58,2026-06-26,Group Stage,Group F,Tunisia,Netherlands,Arrowhead Stadium,Kansas City,USA,scheduled,kaggle_world_cup_2026_schedule,2026-07-10T00:54:46+00:00
59,2026-06-26,Group Stage,Group D,Winner UEFA Playoff C,United States,SoFi Stadium,Los Angeles,USA,scheduled,kaggle_world_cup_2026_schedule,2026-07-10T00:54:46+00:00
60,2026-06-26,Group Stage,Group D,Paraguay,Australia,Levi's Stadium,San Francisco Bay Area,USA,scheduled,kaggle_world_cup_2026_schedule,2026-07-10T00:54:46+00:00
61,2026-06-26,Group Stage,Group I,Norway,France,Gillette Stadium,Boston,USA,scheduled,kaggle_world_cup_2026_schedule,2026-07-10T00:54:46+00:00
62,2026-06-26,Group Stage,Group I,Senegal,Winner FIFA Playoff 2,BMO Field,Toronto,Canada,scheduled,kaggle_world_cup_2026_schedule,2026-07-10T00:54:46+00:00
63,2026-06-27,Group Stage,Group H,Cabo Verde,Saudi Arabia,NRG Stadium,Houston,USA,scheduled,kaggle_world_cup_2026_schedule,2026-07-10T00:54:46+00:00
64,2026-06-27,Group Stage,Group H,Uruguay,Spain,Estadio Akron,Guadalajara,Mexico,scheduled,kaggle_world_cup_2026_schedule,2026-07-10T00:54:46+00:00
65,2026-06-27,Group Stage,Group G,Egypt,Iran,Lumen Field,Seattle,USA,scheduled,kaggle_world_cup_2026_schedule,2026-07-10T00:54:46+00:00
66,2026-06-27,Group Stage,Group G,New Zealand,Belgium,BC Place,Vancouver,Canada,scheduled,kaggle_world_cup_2026_schedule,2026-07-10T00:54:46+00:00
67,2026-06-27,Group Stage,Group L,Panama,England,MetLife Stadium,New York/New Jersey,USA,scheduled,kaggle_world_cup_2026_schedule,2026-07-10T00:54:46+00:00
68,2026-06-27,Group Stage,Group L,Croatia,Ghana,Lincoln Financial Field,Philadelphia,USA,scheduled,kaggle_world_cup_2026_schedule,2026-07-10T00:54:46+00:00
69,2026-06-27,Group Stage,Group K,Colombia,Portugal,Hard Rock Stadium,Miami,USA,scheduled,kaggle_world_cup_2026_schedule,2026-07-10T00:54:46+00:00
70,2026-06-27,Group Stage,Group K,Winner FIFA Playoff 1,Uzbekistan,Mercedes-Benz Stadium,Atlanta,USA,scheduled,kaggle_world_cup_2026_schedule,2026-07-10T00:54:46+00:00
71,2026-06-28,Group Stage,Group J,Algeria,Austria,Arrowhead Stadium,Kansas City,USA,scheduled,kaggle_world_cup_2026_schedule,2026-07-10T00:54:46+00:00
72,2026-06-28,Group Stage,Group J,Jordan,Argentina,AT&T Stadium,Dallas,USA,scheduled,kaggle_world_cup_2026_schedule,2026-07-10T00:54:46+00:00
73,2026-06-28,Round of 32,2A vs 2B,,,SoFi Stadium,Los Angeles,USA,scheduled,kaggle_world_cup_2026_schedule,2026-07-10T00:54:46+00:00
74,2026-06-29,Round of 32,1C vs 2F,,,NRG Stadium,Houston,USA,scheduled,kaggle_world_cup_2026_schedule,2026-07-10T00:54:46+00:00
75,2026-06-29,Round of 32,1E vs 3ABCDF,,,Gillette Stadium,Boston,USA,scheduled,kaggle_world_cup_2026_schedule,2026-07-10T00:54:46+00:00
76,2026-06-30,Round of 32,1F vs 2C,,,Estadio BBVA,Monterrey,Mexico,scheduled,kaggle_world_cup_2026_schedule,2026-07-10T00:54:46+00:00
77,2026-06-30,Round of 32,2E vs 2I,,,AT&T Stadium,Dallas,USA,scheduled,kaggle_world_cup_2026_schedule,2026-07-10T00:54:46+00:00
78,2026-06-30,Round of 32,1I vs 3CDFGH,,,MetLife Stadium,New York/New Jersey,USA,scheduled,kaggle_world_cup_2026_schedule,2026-07-10T00:54:46+00:00
79,2026-07-01,Round of 32,1A vs 3CEFHI,,,Estadio Azteca,Mexico City,Mexico,scheduled,kaggle_world_cup_2026_schedule,2026-07-10T00:54:46+00:00
80,2026-07-01,Round of 32,1L vs 3EHIJK,,,Mercedes-Benz Stadium,Atlanta,USA,scheduled,kaggle_world_cup_2026_schedule,2026-07-10T00:54:46+00:00
81,2026-07-01,Round of 32,1G vs 3AEHIJ,,,Lumen Field,Seattle,USA,scheduled,kaggle_world_cup_2026_schedule,2026-07-10T00:54:46+00:00
82,2026-07-02,Round of 32,1D vs 3BEFIJ,,,Levi's Stadium,San Francisco Bay Area,USA,scheduled,kaggle_world_cup_2026_schedule,2026-07-10T00:54:46+00:00
83,2026-07-02,Round of 32,1H vs 2J,,,SoFi Stadium,Los Angeles,USA,scheduled,kaggle_world_cup_2026_schedule,2026-07-10T00:54:46+00:00
84,2026-07-02,Round of 32,2K vs 2L,,,BMO Field,Toronto,Canada,scheduled,kaggle_world_cup_2026_schedule,2026-07-10T00:54:46+00:00
85,2026-07-03,Round of 32,1B vs 3EFGIJ,,,BC Place,Vancouver,Canada,scheduled,kaggle_world_cup_2026_schedule,2026-07-10T00:54:46+00:00
86,2026-07-03,Round of 32,2D vs 2G,,,AT&T Stadium,Dallas,USA,scheduled,kaggle_world_cup_2026_schedule,2026-07-10T00:54:46+00:00
87,2026-07-03,Round of 32,1J vs 2H,,,Hard Rock Stadium,Miami,USA,scheduled,kaggle_world_cup_2026_schedule,2026-07-10T00:54:46+00:00
88,2026-07-04,Round of 32,1K vs 3DEIJL,,,Arrowhead Stadium,Kansas City,USA,scheduled,kaggle_world_cup_2026_schedule,2026-07-10T00:54:46+00:00
89,2026-07-04,Round of 16,W73 vs W75,,,NRG Stadium,Houston,USA,scheduled,kaggle_world_cup_2026_schedule,2026-07-10T00:54:46+00:00
90,2026-07-04,Round of 16,W74 vs W77,,,Lincoln Financial Field,Philadelphia,USA,scheduled,kaggle_world_cup_2026_schedule,2026-07-10T00:54:46+00:00
91,2026-07-05,Round of 16,W76 vs W78,,,MetLife Stadium,New York/New Jersey,USA,scheduled,kaggle_world_cup_2026_schedule,2026-07-10T00:54:46+00:00
92,2026-07-06,Round of 16,W79 vs W80,,,Estadio Azteca,Mexico City,Mexico,scheduled,kaggle_world_cup_2026_schedule,2026-07-10T00:54:46+00:00
93,2026-07-06,Round of 16,W83 vs W84,,,AT&T Stadium,Dallas,USA,scheduled,kaggle_world_cup_2026_schedule,2026-07-10T00:54:46+00:00
94,2026-07-07,Round of 16,W81 vs W82,,,Lumen Field,Seattle,USA,scheduled,kaggle_world_cup_2026_schedule,2026-07-10T00:54:46+00:00
95,2026-07-07,Round of 16,W86 vs W88,,,Mercedes-Benz Stadium,Atlanta,USA,scheduled,kaggle_world_cup_2026_schedule,2026-07-10T00:54:46+00:00
96,2026-07-07,Round of 16,W85 vs W87,,,BC Place,Vancouver,Canada,scheduled,kaggle_world_cup_2026_schedule,2026-07-10T00:54:46+00:00
97,2026-07-09,Quarterfinals,W89 vs W90,,,Gillette Stadium,Boston,USA,scheduled,kaggle_world_cup_2026_schedule,2026-07-10T00:54:46+00:00
98,2026-07-10,Quarterfinals,W93 vs W94,,,SoFi Stadium,Los Angeles,USA,scheduled,kaggle_world_cup_2026_schedule,2026-07-10T00:54:46+00:00
99,2026-07-11,Quarterfinals,W91 vs W92,,,Hard Rock Stadium,Miami,USA,scheduled,kaggle_world_cup_2026_schedule,2026-07-10T00:54:46+00:00
100,2026-07-12,Quarterfinals,W95 vs W100,,,Arrowhead Stadium,Kansas City,USA,scheduled,kaggle_world_cup_2026_schedule,2026-07-10T00:54:46+00:00
101,2026-07-14,Semifinals,W97 vs W98,,,AT&T Stadium,Dallas,USA,scheduled,kaggle_world_cup_2026_schedule,2026-07-10T00:54:46+00:00
102,2026-07-15,Semifinals,W99 vs W100,,,Mercedes-Benz Stadium,Atlanta,USA,scheduled,kaggle_world_cup_2026_schedule,2026-07-10T00:54:46+00:00
103,2026-07-18,Third Place Playoff,RU101 vs RU102,,,Hard Rock Stadium,Miami,USA,scheduled,kaggle_world_cup_2026_schedule,2026-07-10T00:54:46+00:00
104,2026-07-19,Final,W101 vs W102,,,MetLife Stadium,New York/New Jersey,USA,scheduled,kaggle_world_cup_2026_schedule,2026-07-10T00:54:46+00:00
